"","x"
"1","al"
"2","Albic"
"3","Albolls"
"4","Alfisols"
"5","Andic"
"6","Andisol"
"7","Andisols"
"8","Antirhyzic"
"9","aqp"
"10","Aquic"
"11","Aquolls"
"12","argillic"
"13","Argillic"
"14","Aridic"
"15","Aridisols"
"16","Artesols"
"17","artifactic"
"18","BCt"
"19","Beaudette"
"20","Bellyspring"
"21","bookdown"
"22","borings"
"23","Brentwood"
"24","Bt"
"25","CaCl"
"26","Calcic"
"27","Camarillo"
"28","Capic"
"29","CEC"
"30","cementation"
"31","Cementation"
"32","coprogenous"
"33","cryic"
"34","Cumulic"
"35","densic"
"36","Densic"
"37","depositional"
"38","diatomaceous"
"39","differentiae"
"40","Differentiae"
"41","disaggregation"
"42","dolomitic"
"43","Duripan"
"44","dysic"
"45","Entisols"
"46","epi"
"47","Epiaquarts"
"48","epipedon"
"49","Epipedon"
"50","epipedons"
"51","Epipedons"
"52","et"
"53","euic"
"54","eutrophic"
"55","extractable"
"56","Factarts"
"57","ferrihumic"
"58","fetchOSD"
"59","fibric"
"60","Fluv"
"61","Fluvaquentic"
"62","Fluvaquents"
"63","Fluventic"
"64","fluvents"
"65","Folistic"
"66","fragipan"
"67","Fragipan"
"68","Garbi"
"69","Garbifactarts"
"70","gelic"
"71","Gelic"
"72","Gelisols"
"73","Gelolls"
"74","geomorphic"
"75","geospatial"
"76","geostatistical"
"77","gradational"
"78","granitoid"
"79","grus"
"80","HAHT"
"81","Haplo"
"82","Haplocryolls"
"83","Haplofactarts"
"84","Haplortharts"
"85","Haploxeralfs"
"86","Haploxerolls"
"87","Hazic"
"88","Histels"
"89","Histic"
"90","Histosol"
"91","Histosols"
"92","Honn"
"93","HTM"
"94","Hueneme"
"95","Humi"
"96","Humic"
"97","Humults"
"98","hyperspectral"
"99","Inceptisols"
"100","indeterminant"
"101","indurated"
"102","intentioned"
"103","Jacinto"
"104","Jahant"
"105","Keefers"
"106","knitr"
"107","KSSL"
"108","KST"
"109","lacustrine"
"110","lamellae"
"111","landforms"
"112","Leptic"
"113","lessivage"
"114","lieutex"
"115","limnic"
"116","Limnic"
"117","lithic"
"118","Lithic"
"119","Manu"
"120","Manufactarts"
"121","mapunit"
"122","marly"
"123","melanic"
"124","Melanic"
"125","MLRA"
"126","MLRAs"
"127","mollic"
"128","Mollic"
"129","Mollisol"
"130","Mollisols"
"131","morphologic"
"132","NASIS"
"133","NCSS"
"134","noncemented"
"135","nonsoil"
"136","O’Geen’s"
"137","OC"
"138","Ortstein"
"139","OSD"
"140","OSDs"
"141","Oxyaquic"
"142","Pachic"
"143","parachanners"
"144","parafragments"
"145","paragravel"
"146","paralithic"
"147","Paralithic"
"148","pararock"
"149","pedogenesis"
"150","pedogenic"
"151","pedogenically"
"152","Pedologic"
"153","Pedology"
"154","pedon"
"155","Pedon"
"156","pedons"
"157","Pedons"
"158","Petrocalcic"
"159","Petroferric"
"160","Petrogypsic"
"161","Placic"
"162","Pleasanton"
"163","polypedon"
"164","Porti"
"165","Portifactarts"
"166","Portortharts"
"167","Positas"
"168","Psammi"
"169","pseudomorphs"
"170","rasters"
"171","redoximorphic"
"172","regolith"
"173","Reiff"
"174","RIC"
"175","RLL"
"176","saprolite"
"177","se"
"178","situ"
"179","SMR"
"180","soilDB"
"181","spacings"
"182","Sphagno"
"183","Sphagnofibrists"
"184","spm"
"185","SSURGO"
"186","Stomar"
"187","STR"
"188","subhorizon"
"189","subhorizons"
"190","superactive"
"191","superfund"
"192","surficial"
"193","Tallyn"
"194","taxadjuncts"
"195","taxonomically"
"196","tenumollic"
"197","Tenumollic"
"198","tephra"
"199","Tephric"
"200","Tephrics"
"201","Tephrids"
"202","th"
"203","Thapto"
"204","thermic"
"205","Thermic"
"206","Thorson"
"207","Tierra"
"208","translocated"
"209","Udic"
"210","Umbric"
"211","un"
"212","unweathered"
"213","vadose"
"214","Vertic"
"215","Vitrandic"
"216","Vitric"
"217","Wastifactarts"
"218","WRB"
"219","Xeralfs"
"220","Xeric"
"221","Xerofluvents"
"222","Xerolls"
"223","Yokohl"
"224","Yolo"
"225","zm"
